country,GDP_PC,year
CHN,1526.40869902494,1990
DEU,31287.0698103409,1990
IND,1754.85732984082,1990
KEN,2380.40977383278,1990
USA,37062.1302595789,1990
ZAF,9696.38107327709,1990
CHN,1645.66636638566,1991
DEU,32646.5618381478,1991
IND,1737.61504297567,1991
KEN,2337.04564669724,1991
USA,36543.0849228687,1991
ZAF,9378.58772512343,1991
CHN,1856.72218055136,1992
DEU,33022.5755518938,1992
IND,1796.53234951419,1992
KEN,2245.51935377086,1992
USA,37321.1290369821,1992
ZAF,8963.08034261332,1992
CHN,2090.03840956191,1993
DEU,32492.5185329959,1993
IND,1845.14908066551,1993
KEN,2184.31243777308,1993
USA,37843.5732817864,1993
ZAF,8862.01372251372,1993
CHN,2336.27772051927,1994
DEU,33175.7085774638,1994
IND,1930.11304679864,1994
KEN,2174.74191542153,1994
USA,38891.6981952607,1994
ZAF,8944.70759160501,1994
CHN,2564.07131651646,1995
DEU,33653.1296358835,1995
IND,2036.79592888386,1995
KEN,2204.31061004959,1995
USA,39476.2658175258,1995
ZAF,9032.89744099684,1995
CHN,2789.25280006157,1996
DEU,33830.3056593287,1996
IND,2149.36550383555,1996
KEN,2230.36786068321,1996
USA,40500.7954160455,1996
ZAF,9243.93925840949,1996
CHN,3015.69963078252,1997
DEU,34405.5192090796,1997
IND,2194.90258962263,1997
KEN,2178.54857332336,1997
USA,41811.6387668025,1997
ZAF,9323.75392074597,1997
CHN,3221.00262081845,1998
DEU,35081.304207874,1998
IND,2288.04783902726,1998
KEN,2188.57151684665,1998
USA,43166.0818492918,1998
ZAF,9220.95505407512,1998
CHN,3438.07468502092,1999
DEU,35755.2993074406,1999
IND,2445.75107851051,1999
KEN,2178.25215291145,1999
USA,44672.5494142099,1999
ZAF,9294.56082486319,1999
CHN,3700.74364786842,2000
DEU,36764.5629268974,2000
IND,2495.04663284552,2000
KEN,2132.08521761612,2000
USA,45986.0527103166,2000
ZAF,9538.96554021988,2000
CHN,3980.36449828146,2001
DEU,37325.0525470646,2001
IND,2570.42788703915,2001
KEN,2153.04887152323,2001
USA,45977.5499913714,2001
ZAF,9661.16235738766,2001
CHN,4314.79134256322,2002
DEU,37262.3512875562,2002
IND,2623.33027850996,2002
KEN,2106.64989036262,2002
USA,46366.5779744928,2002
ZAF,9878.96005919252,2002
CHN,4718.32634605353,2003
DEU,36977.3460076486,2003
IND,2783.00435524793,2003
KEN,2110.17732624494,2003
USA,47260.0419368009,2003
ZAF,10037.4183732262,2003
CHN,5164.64109457187,2004
DEU,37418.0924996579,2004
IND,2955.20482377028,2004
KEN,2158.19031711071,2004
USA,48597.3373622248,2004
ZAF,10364.3597519917,2004
CHN,5719.45536599539,2005
DEU,37703.9329399406,2005
IND,3178.82872375339,2005
KEN,2223.95101770507,2005
USA,49762.2379013619,2005
ZAF,10783.1916101722,2005
CHN,6411.0425444815,2006
DEU,39143.1662435764,2006
IND,3419.93110735311,2006
KEN,2303.74841086948,2006
USA,50598.9483595843,2006
ZAF,11261.9562626009,2006
CHN,7285.27441480908,2007
DEU,40473.5274498896,2007
IND,3698.77749042598,2007
KEN,2394.75151869125,2007
USA,51011.4250263085,2007
ZAF,11741.3495027811,2007
CHN,7947.78795240087,2008
DEU,40989.4431148599,2008
IND,3786.63267681024,2008
KEN,2335.16842391389,2008
USA,50383.8405601926,2008
ZAF,11989.8563294705,2008
CHN,8651.72590128034,2009
DEU,38784.4524824906,2009
IND,4049.8051147141,2009
KEN,2347.11357979164,2009
USA,48557.8676445276,2009
ZAF,11676.0413098972,2009
CHN,9525.81848339164,2010
DEU,40428.7210307617,2010
IND,4404.69700530452,2010
KEN,2475.84353728418,2010
USA,49372.6192042539,2010
ZAF,11887.8013418852,2010
CHN,10384.3665989406,2011
DEU,42692.5197566424,2011
IND,4635.879136587,2011
KEN,2556.87091600941,2011
USA,49790.6654782305,2011
ZAF,12118.7378564659,2011
CHN,11145.7515754935,2012
DEU,42822.0994035797,2012
IND,4827.55965576551,2012
KEN,2602.50386700285,2012
USA,50519.5266059597,2012
ZAF,12215.2405527557,2012
CHN,11951.2479591608,2013
DEU,42914.4761126655,2013
IND,5073.60548933442,2013
KEN,2682.9763374729,2013
USA,51008.4599710083,2013
ZAF,12340.2143221535,2013
CHN,12758.647789259,2014
DEU,43560.6192440775,2014
IND,5389.90438446372,2014
KEN,2753.02692616296,2014
USA,51931.6121706486,2014
ZAF,12372.2652788384,2014
CHN,13569.8915267324,2015
DEU,43937.9471317278,2015
IND,5754.0645968093,2015
KEN,2835.64366175991,2015
USA,53029.2933612438,2015
ZAF,12362.5838136118,2015
CHN,14399.4476596052,2016
DEU,44356.8577288353,2016
IND,6092.64809658276,2016
KEN,2925.60091711188,2016
USA,53445.3705894169,2016
ZAF,12236.8319492475,2016
